Food Name,Image URL,Ingredients
Vegetable Curry,https://static.wikia.nocookie.net/cookingmama/images/2/22/CM_11.png/revision/latest/scale-to-width-down/140?cb=20190816025035,"Potato
Eggplant
Onion
Water
Curry Roux
Served with rice"
Grilled Gyoza,https://static.wikia.nocookie.net/cookingmama/images/3/38/CM_12.png/revision/latest/scale-to-width-down/140?cb=20190816025323,"Cabbage
Garlic
Minced Meat
Salt
Pepper
Sesame Oil
Gyoza Skin
Water"
Fried Gyoza,https://static.wikia.nocookie.net/cookingmama/images/d/dd/CM_13.png/revision/latest/scale-to-width-down/140?cb=20190817124827,"Cabbage
Garlic
Minced Meat
Salt
Pepper
Sesame Oil
Gyoza Skin"
Pork Cutlet,https://static.wikia.nocookie.net/cookingmama/images/f/fb/CM_14.png/revision/latest/scale-to-width-down/140?cb=20190817124926,"Pork Cutlet
Flour (komugiko)
Egg
Bread Crumbs (panko)
Arrangement Items: Fries, Shredded Cabbage, Tomato Slices, Corn, Green Beans, Carrots"
Deep Fried Pork Kebabs,https://static.wikia.nocookie.net/cookingmama/images/9/90/CM_15.png/revision/latest/scale-to-width-down/140?cb=20190817125031,"Pork
Shiitake Mushroom
Leek (negi)
Flour (komugiko)
Egg
Bread Crumbs (panko)
Served on a bed of lettuce"
Pork Rice Bowl,https://static.wikia.nocookie.net/cookingmama/images/4/4d/CM_16.png/revision/latest/scale-to-width-down/140?cb=20190817125114,"Pork Cutlet
Flour (komugiko)
Egg
Bread Crumbs (panko)
Onion
Broth (dashi)
Cooking Sake (mirin)
Cooking Alcohol (sake)
Soy Sauce
Sugar"
Boiled Rice,https://static.wikia.nocookie.net/cookingmama/images/f/fc/CM_17.png/revision/latest/scale-to-width-down/140?cb=20190817125142,"Rice
Water"
Chestnut Rice,https://static.wikia.nocookie.net/cookingmama/images/0/0c/CM_18.png/revision/latest/scale-to-width-down/140?cb=20190817125230,"Rice
Water
Chestnut
Cooking Sake (mirin)
Soy Sauce"
Bamboo Shoot Rice,https://static.wikia.nocookie.net/cookingmama/images/c/c7/CM_19.png/revision/latest/scale-to-width-down/140?cb=20190818141404,"Rice
Water
Bamboo Shoot
Carrot
Soy Sauce
Cooking Sake (mirin)"
Fried Chicken,https://static.wikia.nocookie.net/cookingmama/images/9/92/CM_20.png/revision/latest/scale-to-width-down/140?cb=20190818141447,"Chicken Thigh
Ginger
Sesame Oil
Cooking Alcohol (sake)
Soy Sauce
Potato Starch (katakuriko)
Served with a lemon slice and a parsley sprig"
Beef Steak,https://static.wikia.nocookie.net/cookingmama/images/9/96/CM_21.png/revision/latest/scale-to-width-down/140?cb=20190818141519,"Beef
Flavoring
Butter
Arrangement Items: Fries, Broccoli, Tomato Slices, Corn, Green Beans, Carrots"
Japanese Steak (Grated Radish),https://static.wikia.nocookie.net/cookingmama/images/3/36/CM_22.png/revision/latest/scale-to-width-down/140?cb=20190818141631,"Beef
Flavoring
Butter
Dashi
Soy Sauce
Sugar
Cooking Sake (mirin)
Potato Starch (katakuriko)
Daikon Radish
Arrangement Items: Fries, Broccoli, Grated Daikon, Corn, Green Beans, Carrots"
Sweet Fried Egg,https://static.wikia.nocookie.net/cookingmama/images/6/63/CM_23.png/revision/latest/scale-to-width-down/140?cb=20190818141712,"Egg
Cooking Sake (mirin)
Soy Sauce
Sugar"
Fried Octopus Dumplings,https://static.wikia.nocookie.net/cookingmama/images/9/93/CM_24.png/revision/latest/scale-to-width-down/140?cb=20190818141745,"Octopus Tentacle
Flour (komugiko)
Egg
Water
Served with takoyaki sauce and green seaweed"
Spaghetti Neapolitan,https://static.wikia.nocookie.net/cookingmama/images/c/c1/CM_25.png/revision/latest/scale-to-width-down/140?cb=20190820121722,"Spaghetti Pasta
Sausage
Onion
Green Pepper
Ketchup"
Spaghetti Bolognese,https://static.wikia.nocookie.net/cookingmama/images/b/bf/CM_26.png/revision/latest/scale-to-width-down/140?cb=20190820121740,"Spaghetti Pasta
Onion
Garlic
Minced Pork
Tomato Puree
Oyster Sauce
Bay Leaf"
Seafood Spaghetti,https://static.wikia.nocookie.net/cookingmama/images/3/34/CM_27.png/revision/latest/scale-to-width-down/140?cb=20190820121802,"Spaghetti Pasta
Shrimp
Squid
Garlic
Salt
Pepper"
Pan-Fried Vegetables,https://static.wikia.nocookie.net/cookingmama/images/0/00/CM_28.png/revision/latest/scale-to-width-down/140?cb=20190820121823,"Cabbage
Mung Bean Sprouts
Pork
Oyster Sauce
Salt
Sugar
Soy Sauce"
Miso Soup,https://static.wikia.nocookie.net/cookingmama/images/0/01/CM_29.png/revision/latest/scale-to-width-down/140?cb=20190820121848,"Green Onion (negi)
Tofu
Water
Kelp (kombu)
Seaweed (wakame)
Miso"
Pork and Vegetable Soup,https://static.wikia.nocookie.net/cookingmama/images/a/a7/CM_30.png/revision/latest/scale-to-width-down/140?cb=20190820121910,"Green Onion (negi)
Carrot
Daikon Radish
Konnyaku
Miso
Soy Sauce"
Sandwich,https://static.wikia.nocookie.net/cookingmama/images/5/52/CM_31.png/revision/latest/scale-to-width-down/140?cb=20190821111412,"Lettuce
Cucumber
Tomato
Crustless Bread
Cheese
Ham"
Meatballs,https://static.wikia.nocookie.net/cookingmama/images/e/e0/CM_32.png/revision/latest/scale-to-width-down/140?cb=20190821111515,"Ginger
Scallion/Green Onion (hoso-negi)
Minced Meat
Egg
Bread Crumbs (panko)
Salt
Pepper
Potato Starch (katakuriko)
Sesame Oil
Flour (komugiko)
Dashi
Ketchup
Sugar
Soy Sauce
Vinegar
Garnished with parsley"
Fried Squid,https://static.wikia.nocookie.net/cookingmama/images/e/e7/CM_33.png/revision/latest/scale-to-width-down/140?cb=20190821111542,"Squid
Flour (komugiko)
Egg
Bread Crumbs (panko)
Garnished with shredded cabbage"
Squid Tempura,https://static.wikia.nocookie.net/cookingmama/images/9/9d/CM_34.png/revision/latest/scale-to-width-down/140?cb=20190821111611,"Squid
Egg Yolk
Flour (komugiko)
Water"
Croquette,https://static.wikia.nocookie.net/cookingmama/images/7/79/CM_35.png/revision/latest/scale-to-width-down/140?cb=20190821111643,"Potatoes
Butter
Minced Pork
Salt
Pepper
Red Wine
Flour (komugiko)
Egg
Bread Crumbs (panko)
Served on a bed of lettuce"
Grilled Mackerel,https://static.wikia.nocookie.net/cookingmama/images/f/f1/CM_36.png/revision/latest/scale-to-width-down/140?cb=20190821111717,"Daikon Radish
Mackerel (sanma)"
Curried Pilaf,https://static.wikia.nocookie.net/cookingmama/images/f/f9/CM_37.png/revision/latest/scale-to-width-down/140?cb=20190822113530,"Onion
Shrimp
Rice
Salt
Pepper
Curry Powder"
Seafood Curry,https://static.wikia.nocookie.net/cookingmama/images/c/c8/CM_38.png/revision/latest/scale-to-width-down/140?cb=20190822113629,"Shrimp
Squid
Onion
Water
Curry Roux
Served with rice"
Spring Roll,https://static.wikia.nocookie.net/cookingmama/images/9/95/CM_39.png/revision/latest/scale-to-width-down/140?cb=20190822113705,"Shrimp
Bamboo Shoot
Mung Bean Sprouts
Oyster Sauce
Salt
Pepper
Sugar
Soy Sauce
Wonton Skin"
Shrimp Gyoza,https://static.wikia.nocookie.net/cookingmama/images/e/eb/CM_40.png/revision/latest/scale-to-width-down/140?cb=20190822113759,"Shrimp
Bamboo Shoot
Ginger
Egg White
Soy Sauce
Cornstarch
Gyoza Skin"
Fried Prawn,https://static.wikia.nocookie.net/cookingmama/images/7/7e/CM_41.png/revision/latest/scale-to-width-down/140?cb=20190822113855,"Prawn/Shrimp
Flour (komugiko)
Egg
Bread Crumbs (panko)
Arrangement Items: Fries, Shredded Cabbage, Tomato Slices, Corn, Green Beans, Carrots"
Shrimp Tempura,https://static.wikia.nocookie.net/cookingmama/images/4/40/CM_42.png/revision/latest/scale-to-width-down/140?cb=20190822113936,"Shrimp
Egg Yolk
Flour (komugiko)
Water"
Chicken and Egg Rice Bowl,https://static.wikia.nocookie.net/cookingmama/images/b/bf/CM_43.png/revision/latest/scale-to-width-down/140?cb=20190823111049,"Chicken
Onion
Broth (dashi)
Cooking Alcohol (sake)
Soy Sauce
Cooking Sake (mirin)
Sugar
Egg
Rice
Garnished with mitsuba, Japanese wild parsley"
Fried Rice,https://static.wikia.nocookie.net/cookingmama/images/c/c8/CM_44.png/revision/latest/scale-to-width-down/140?cb=20190823111118,"Onion
Egg
Rice
Lard
Salt
Pepper
Soy Sauce"
Crab Fried Rice,https://static.wikia.nocookie.net/cookingmama/images/5/58/CM_45.png/revision/latest/scale-to-width-down/140?cb=20190823111146,"Onion
Egg
Rice
Snow Crab
Lard
Salt
Pepper
Soy Sauce"
Shrimp Fried Rice,https://static.wikia.nocookie.net/cookingmama/images/e/e8/CM_46.png/revision/latest/scale-to-width-down/140?cb=20190823111219,"Onion
Egg
Rice
Shrimp
Lard
Salt
Pepper
Soy Sauce"
Chicken Rice,https://static.wikia.nocookie.net/cookingmama/images/e/ec/CM_47.png/revision/latest/scale-to-width-down/140?cb=20190823111242,"Onion
Chicken
Butter
Button Mushroom
Salt
Rice
Ketchup"
Rice Cakes,https://static.wikia.nocookie.net/cookingmama/images/a/a6/CM_48.png/revision/latest/scale-to-width-down/140?cb=20190823111305,"Rice
Water"
Chicken in Tomato Sauce,https://static.wikia.nocookie.net/cookingmama/images/6/6e/CM_49.png/revision/latest/scale-to-width-down/140?cb=20190829113129,"Chicken Thigh
Onion
Water
Whole Tomato
White Wine
Bay Leaf"
Chicken in Cream Sauce,https://static.wikia.nocookie.net/cookingmama/images/f/f0/CM_50.png/revision/latest/scale-to-width-down/140?cb=20190829113154,"Chicken Thigh
Onion
Carrot
Potato Starch (katakuriko)
Butter
White Wine
Whipped Cream (Fresh Cream)
Salt
Pepper
Whole Grain Mustard
Chicken Bouillon"
Pork Sauté,https://static.wikia.nocookie.net/cookingmama/images/1/12/CM_51.png/revision/latest/scale-to-width-down/140?cb=20190829113221,"Pork
Flavoring
Flour (komugiko)
White Wine
Arrangement Items: Fries, Broccoli, Tomato Slices, Corn, Green Beans, Carrots"
Boiled Egg,https://static.wikia.nocookie.net/cookingmama/images/a/aa/CM_52.png/revision/latest/scale-to-width-down/140?cb=20190829113252,"Water
Egg"
Pan-Fried Batter Cake,https://static.wikia.nocookie.net/cookingmama/images/9/9e/CM_53.png/revision/latest/scale-to-width-down/140?cb=20190913120529,"Egg
Flour (komugiko)
Water
Cabbage
Ribs (Pork Belly)
Shrimp
Okonomiyaki Sauce"
Instant Ramen,https://static.wikia.nocookie.net/cookingmama/images/1/10/CM_54.png/revision/latest/scale-to-width-down/140?cb=20190829113453,"Ramen Cup
Boiling Water"
Chinese Sautéed Beef and Peppers,https://static.wikia.nocookie.net/cookingmama/images/e/e3/CM_55.png/revision/latest/scale-to-width-down/140?cb=20190901111038,"Green Pepper
Bamboo Shoot
Oyster Sauce
Sugar
Salt
Soy Sauce
Cooking Alchohol (sake)
Potato Starch (katakuriko)
Beef"
Pizza,https://static.wikia.nocookie.net/cookingmama/images/a/af/CM_56.png/revision/latest/scale-to-width-down/140?cb=20190901111303,"Flour (komugiko)
Dry Yeast
Hot Water
Olive Oil
Tomato
Pepperoni
Pizza Sauce
Topping Items: Cheese, Mushroom, Bacon, Shrimp"
Stuffed Peppers,https://static.wikia.nocookie.net/cookingmama/images/7/7b/CM_57.png/revision/latest/scale-to-width-down/140?cb=20190901111502,"Green Peppers
Bamboo Shoot
Scallion/Green Onion (hoso-negi)
Minced Meat
Salt
Soy Sauce
Cooking Alcohol (sake)"
Mixed Tempura,https://static.wikia.nocookie.net/cookingmama/images/4/46/CM_58.png/revision/latest/scale-to-width-down/140?cb=20190901111553,"Onion
Carrot
Egg Yolk
Flour (komugiko)
Water
Spotted Shrimp (sakura-ebi)"
Seasoned Beef with Potatoes,https://static.wikia.nocookie.net/cookingmama/images/b/b0/CM_59.png/revision/latest/scale-to-width-down/140?cb=20190901111754,"Potatoes
Carrot
Onion
Beef
Water
Soy Sauce
Sugar
Cooking Sake (mirin)
Cooking Alcohol (sake)"
Shumai Wonton,https://static.wikia.nocookie.net/cookingmama/images/c/cb/CM_60.png/revision/latest/scale-to-width-down/140?cb=20190901111851,"Scallion/Green Onion (hoso-negi)
Onion
Minced Meat
Salt
Soy Sauce
Sesame Oil
Wonton Skin
Peas
Garnished with parsley"
Shrimp Wonton,https://static.wikia.nocookie.net/cookingmama/images/5/56/CM_61.png/revision/latest/scale-to-width-down/140?cb=20190901195731,"Shrimp
Minced Meat
Egg White
Soy Sauce
Ginger
Wonton Skin
Water
Salt
Chicken Stock"
Chili Sauce Shrimp,https://static.wikia.nocookie.net/cookingmama/images/f/ff/CM_62.png/revision/latest/scale-to-width-down/140?cb=20190901195756,"Shrimp
Flour (komugiko)
Green Onion (negi)
Ketchup
Sugar
Soy Sauce
Consomme
Cooking Alcohol (sake)
Potato Starch (katakuriko)
Served on a bed of lettuce"
Rice Balls,https://static.wikia.nocookie.net/cookingmama/images/8/82/CM_63.png/revision/latest/scale-to-width-down/140?cb=20190901195825,"Rice
Water
Seaweed
Umeboshi (pickled plum)
Flaked Salmon
Mentaiko (pollack roe)"
Chicken Kebabs,https://static.wikia.nocookie.net/cookingmama/images/7/7d/CM_64.png/revision/latest/scale-to-width-down/140?cb=20190901195907,"Chicken (Chicken Thigh)
Leek/Welsh Onion (negi)
Shiitake Mushroom"
Macaroni Gratin,https://static.wikia.nocookie.net/cookingmama/images/2/29/CM_65.png/revision/latest/scale-to-width-down/140?cb=20190901195932,"Butter
Flour (komugiko)
Milk
Salt
Pepper
Shrimp
Scallop
White Wine
Macaroni
Topping Items: Shrimp, Cheese, Scallop, Bacon, Mushrooms"
Rice Gratin,https://static.wikia.nocookie.net/cookingmama/images/d/d8/CM_66.png/revision/latest/scale-to-width-down/140?cb=20190913120608,"Butter
Flour (komugiko)
Milk
Salt
Pepper
Chicken (Chicken Thigh)
Onion
Rice
Ketchup
Topping Items: Bacon, Mushroom, Cheese"
Egg Sunny Side-Up,https://static.wikia.nocookie.net/cookingmama/images/7/7a/CM_67.png/revision/latest/scale-to-width-down/140?cb=20190906114004,"Butter
Egg
Water"
Soba,https://static.wikia.nocookie.net/cookingmama/images/6/6c/CM_68.png/revision/latest/scale-to-width-down/140?cb=20190906114043,"Buckwheat Flour
Flour (komugiko)
Hot Water
Served with soba tsuyu (dipping sauce)"
Meat Pie,https://static.wikia.nocookie.net/cookingmama/images/1/18/CM_69.png/revision/latest/scale-to-width-down/140?cb=20190906114141,"Onion
Minced Pork
White Wine
Tomato Puree
Flour (komugiko)
Butter
Water"
Cabbage Roll,https://static.wikia.nocookie.net/cookingmama/images/c/ca/CM_70.png/revision/latest/scale-to-width-down/140?cb=20190906114216,"Minced Meat
Salt
Pepper
Milk
Egg
Bread Crumbs (panko)
Oil
Cabbage
Water
Consomme"
Sweet Tofu Sushi,https://static.wikia.nocookie.net/cookingmama/images/c/c0/CM_71.png/revision/latest/scale-to-width-down/140?cb=20190906114329,"Fried Tofu (abura-age)
Water
Soy Sauce
Sugar
Cooking Alcohol (sake)
Cooking Sake (mirin)
Rice
Water
Rice Vinegar"
Omelet,https://static.wikia.nocookie.net/cookingmama/images/3/3c/CM_72.png/revision/latest/scale-to-width-down/140?cb=20190906114408,"Egg
Butter
Ketchup
Served with broccoli"
Rice in Omelet,https://static.wikia.nocookie.net/cookingmama/images/9/9b/CM_73.png/revision/latest/scale-to-width-down/140?cb=20190906114452,"Egg
Chicken (Chicken Thigh)
Onion
Butter
Button Mushroom
Salt
Rice
Ketchup
Served with peas"
Udon,https://static.wikia.nocookie.net/cookingmama/images/c/c3/CM_74.png/revision/latest/scale-to-width-down/140?cb=20190906114518,"Water
Kelp (kombu)
Green Onion (negi)
Udon
Soy Sauce
Salt"
Hand-Rolled Sushi,https://static.wikia.nocookie.net/cookingmama/images/5/5b/CM_75.png/revision/latest/scale-to-width-down/140?cb=20190906114624,"Rice
Water
Rice Vinegar
Seaweed
Salmon Roe (Ikura)
Tuna (Maguro)"
Crab and Egg Chinese Style,https://static.wikia.nocookie.net/cookingmama/images/8/80/CM_76.png/revision/latest/scale-to-width-down/140?cb=20190906114732,"Shiitake Mushroom
Snow Crab
Egg
Green Peas"
Minestrone,https://static.wikia.nocookie.net/cookingmama/images/a/a3/CMCO_01.png/revision/latest/scale-to-width-down/185?cb=20191210105220,"Potato
Carrot
Canned Tomatoes
Onion
Green Beans
Bacon
Wheat
Salt
Pepper
Garnished with parsley"
Beef in Wine Sauce,https://static.wikia.nocookie.net/cookingmama/images/1/12/CMCO_02.png/revision/latest/scale-to-width-down/185?cb=20191210105251,"Brandy
Cooking Wine (Reduced Alcohol)
Beef Chuck
Beef Rib
Carrot
Shallot
Onion
Mushroom
Baby Onion (Pearl Onion)
Black Pepper
Garnish (Bouquet garni, a bundle of herbs commonly used in Beef Bourguignon)
Flour
Butter
Salt
Pepper"
Custard,https://static.wikia.nocookie.net/cookingmama/images/b/be/CMCO_03.png/revision/latest/scale-to-width-down/185?cb=20191210105358,"Egg
Milk
Granulated Sugar
Liqueur (Grand Marnier, an orange-flavored cognac liqueur)
Vanilla Extract
Caramel*"
Mochi,https://static.wikia.nocookie.net/cookingmama/images/7/7b/CMCO_04.png/revision/latest/scale-to-width-down/185?cb=20191210105510,"Water
Rice (mochigome)
Daikon Radish
Soy Sauce
Seaweed
Kinako (roasted soybean flour)"
Scrambled Eggs,https://static.wikia.nocookie.net/cookingmama/images/6/61/CMCO_05.png/revision/latest/scale-to-width-down/185?cb=20191210105534,"Egg
Crab
Salt
Pepper
Milk
Cream Cheese
Fresh Cream
Butter"
Shrimp in Chili Sauce,https://static.wikia.nocookie.net/cookingmama/images/9/96/CMCO_06.png/revision/latest/scale-to-width-down/185?cb=20191210105700,"Lettuce
Shrimp
Spring Onion (negi)
Garlic
Ginger
Hot Oil
Potato Starch (katakuriko)
Spicy Miso Bean Sauce (Dòubànjiàng, a Chinese paste of soybeans and chilies)"
Pierogi,https://static.wikia.nocookie.net/cookingmama/images/7/78/CMCO_07.png/revision/latest/scale-to-width-down/185?cb=20191210105718,"Egg
Milk
Boiling Water
Bread Flour (kyorikiko)
Granulated Sugar
Butter
Yeast
Onion
Green Pepper
Beef
Salt
Garnished with curly parsley"
Popcorn,https://static.wikia.nocookie.net/cookingmama/images/a/af/CMCO_08.png/revision/latest/scale-to-width-down/185?cb=20191210105728,"Popcorn Kernels
Salt"
Spaghetti in Squid Ink,https://static.wikia.nocookie.net/cookingmama/images/c/c9/CMCO_09.png/revision/latest/scale-to-width-down/185?cb=20191210105740,"Spaghetti
Egg
Squid Ink
Cake Flour
Semolina
Bread Flour
Olive Oil
Salt
Squid
Garlic
Red Chili Pepper
Wine
Garnished with parsley"
Paella,https://static.wikia.nocookie.net/cookingmama/images/d/d4/CMCO_10.png/revision/latest/scale-to-width-down/185?cb=20191210105750,"Mussels
Rice
Onion
Red Pepper
Yellow Pepper
Squid
Shrimp
Saffron
White Wine"
Lasagna,https://static.wikia.nocookie.net/cookingmama/images/c/cd/CMCO_11.png/revision/latest/scale-to-width-down/185?cb=20191210110106,"Eggs
Cake Flour
Butter
Olive Oil
Bread Flour
Semolina
Onion
Pork
Tomato Sauce
Red Wine
Salt
Mushrooms
White Sauce (Béchamel sauce, a simple sauce of milk, butter, and flour)
Cheese
Garnished with chopped parsley"
Brochette,https://static.wikia.nocookie.net/cookingmama/images/f/f8/CMCO_12.png/revision/latest/scale-to-width-down/185?cb=20191210110132,"Lamb
Beef
Salt
Pepper
Asparagus
Onion
Green Pepper
Shiitake Mushroom"
Cream Puffs,https://static.wikia.nocookie.net/cookingmama/images/4/4d/CMCO_13.png/revision/latest/scale-to-width-down/185?cb=20191210110205,"Egg
Cream
Salt
Butter
Cake Flour
Milk
Custard Powder
Granulated Sugar
Vanilla Extract
Garnished with berries (raspberry, blueberry, red currant) and mint"
Grilled Bonito,https://static.wikia.nocookie.net/cookingmama/images/c/c9/CMCO_14.png/revision/latest/scale-to-width-down/185?cb=20200316082602,"Bonito
Salt
Ginger
Garnished with shiso leaves"
Pan-Fried Lobster,https://static.wikia.nocookie.net/cookingmama/images/d/d6/CMCO_15.png/revision/latest/scale-to-width-down/185?cb=20191210110329,"American Lobster
Butter
Pepper (seasoning)
Salt (seasoning)
White Pepper (seasoning)
Black Pepper (seasoning)
Garnish (seasoning)
Thyme (seasoning)
Chili Powder (seasoning)
Brandy
Decorative items: Double-sided flag, pudding/custard, olives, and octopus hotdogs"
Stir-Fried Crab,https://static.wikia.nocookie.net/cookingmama/images/4/4b/CMCO_16.png/revision/latest/scale-to-width-down/185?cb=20191210110358,"Green Pepper
Red Pepper
Ginger
Garlic
Crab (watarigani)
Hot Oil
Water
Sugar
Pepper
Soy Sauce
Oyster Sauce
Potato Starch (katakuriko)
Lettuce
Cherry Tomatoes"
Borscht,https://static.wikia.nocookie.net/cookingmama/images/f/f8/CMCO_17.png/revision/latest/scale-to-width-down/185?cb=20191210110421,"Tomato Sauce
Potato
Carrot
Cabbage
Beets
Beef Tendon
Salt
Pepper
White Pepper
Black Pepper
Laurel (Bay Leaf)
Served with sour cream"
Hot Dog,https://static.wikia.nocookie.net/cookingmama/images/1/11/CMCO_18.png/revision/latest/scale-to-width-down/185?cb=20191210110504,"Bread Bun
Lettuce*
Tomato*
Cheese
Onion
Relish
Sausage
Ketchup
Mustard"
Fettuccine,https://static.wikia.nocookie.net/cookingmama/images/3/3a/CMCO_19.png/revision/latest/scale-to-width-down/185?cb=20191210110530,"Cake Flour
Eggs
Semolina
Olive Oil
Bread Flour
Dough
Mushroom
Garlic
Parmesan Cheese (Parmigiano-Reggiano)
Salt
Pepper
Shrimp
Butter
Garnished with parsley"
Tortilla,https://static.wikia.nocookie.net/cookingmama/images/d/d6/CMCO_20.png/revision/latest/scale-to-width-down/185?cb=20191210110555,"Eggs
Potato
Onion
Red Pepper
Yellow Pepper
Bacon
Olive Oil
Salt"
Gnocchi,https://static.wikia.nocookie.net/cookingmama/images/c/c8/CMCO_21.png/revision/latest/scale-to-width-down/185?cb=20191210110738,"Potato
Eggs
Salt
Bread Flour
Tomato Sauce
Garlic
Fresh Cream
Pepper"
Meatloaf with Sausage,https://static.wikia.nocookie.net/cookingmama/images/2/2e/CMCO_22.png/revision/latest/scale-to-width-down/185?cb=20191210110810,"Pork
Eggs
Onion
Garlic
Butter
Salt
Pepper
Bread Crumbs
Sausage
Mushroom
Items to serve: two-side flag, cherry tomatoes, pudding/custard, olives, curly parsley"
Truffles,https://static.wikia.nocookie.net/cookingmama/images/3/39/CMCO_23.png/revision/latest/scale-to-width-down/185?cb=20191210110841,"Dark Chocolate (Couverture Chocolate)
Cream
Chopped Nuts
Cocoa Powder
White Nonpareils (small spherical pieces of candy)"
Sushi,https://static.wikia.nocookie.net/cookingmama/images/d/d0/CMCO_24.png/revision/latest/scale-to-width-down/185?cb=20191210110904,Ingredients not found
White Fish Meuniere,https://static.wikia.nocookie.net/cookingmama/images/f/fe/CMCO_25.png/revision/latest/scale-to-width-down/185?cb=20191210110936,"Flour
Milk
Flatfish (Righteye Flounder)
Sole (Tonguefish)
Butter
Onion
Garlic
Garnished with curly parsley and cherry tomatoes"
Mapo Tofu,https://static.wikia.nocookie.net/cookingmama/images/f/f1/CMCO_26.png/revision/latest/scale-to-width-down/185?cb=20191210111003,"Pork
Spring Onion
Tofu
Spicy Miso Bean Sauce (Doubanjiang, a Chinese paste of soybeans and chilies)
Soy Sauce
Red Chili Paste (Gochujang, a Korean fermented chili paste)
Potato Starch"
Chicken Kiev,https://static.wikia.nocookie.net/cookingmama/images/6/6e/CMCO_27.png/revision/latest/scale-to-width-down/185?cb=20191210111023,"Eggs
Chicken
Salt
Pepper
Butter
Bread Crumbs
Garnished with curly parsley"
Hamburger,https://static.wikia.nocookie.net/cookingmama/images/8/82/CMCO_28.png/revision/latest/scale-to-width-down/185?cb=20191210111045,"Buns
Tomato
Lettuce
Beef
Egg
Bread
Salt
Pepper
Nutmeg
Black Pepper
Butter
Pickles
Cheese"
Penne all' Arrabbiata,https://static.wikia.nocookie.net/cookingmama/images/f/f5/CMCO_29.png/revision/latest/scale-to-width-down/185?cb=20191210111110,"Penne
Water
Salt
Tomato Sauce
Garlic
Eggplant
Red Chili Pepper
Olive Oil
Garnished with basil"
Galacian Style Octopus,https://static.wikia.nocookie.net/cookingmama/images/0/03/CMCO_30.png/revision/latest/scale-to-width-down/185?cb=20191210111129,"Octopus
Salt (seasoning)
Garnish (seasoning)
Thyme (seasoning)
Chili powder (seasoning)
Laurel
Garnished with parsley"
Tomato Sauce Farfalle,https://static.wikia.nocookie.net/cookingmama/images/7/70/CMCO_31.png/revision/latest/scale-to-width-down/185?cb=20191210111355,"Tomato Sauce
Egg
Bread Flour
Cake Flour
Olive Oil
Semolina
Salt
Water
Shiitake
King Trumpet Mushroom
Parmesan Cheese
Pepper
Fresh Cream"
